State,1991,2001,2011
Alabama,9,9,9
Alaska,3,3,3
Arizona,8,10,11
Arkansas,6,6,6
California,54,55,55
Colorado,8,9,9
Connecticut,8,7,7
Delaware,3,3,3
District of Columbia,3,3,3
Florida,25,27,29
Georgia,13,15,16
Hawaii,4,4,4
Idaho,4,4,4
Illinois,22,21,20
Indiana,12,11,11
Iowa,7,7,6
Kansas,6,6,6
Kentucky,8,8,8
Louisiana,9,9,8
Maine,4,4,4
Maryland,10,10,10
Massachusetts,12,12,11
Michigan,18,17,16
Minnesota,10,10,10
Mississippi,7,6,6
Missouri,11,11,10
Montana,3,3,3
Nebraska,5,5,5
Nevada,4,5,6
New Hampshire,4,4,4
New Jersey,15,15,14
New Mexico,5,5,5
New York,33,31,29
North Carolina,14,15,15
North Dakota,3,3,3
Ohio,21,20,18
Oklahoma,8,7,7
Oregon,7,7,7
Pennsylvania,23,21,20
Rhode Island,4,4,4
South Carolina,8,8,9
South Dakota,3,3,3
Tennessee,11,11,11
Texas,32,34,38
Utah,5,5,6
Vermont,3,3,3
Virginia,13,13,13
Washington,11,11,12
West Virginia,5,5,5
Wisconsin,11,10,10
Wyoming,3,3,3
